RANK,MOVEMENT,PLAYER_ID,PLAYER,FAIRWAY%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,RELATIVE TO PAR
1,0,32816,Satoshi Kodaira,70.89%,392,553,-0.19
2,0,34098,Russell Henley,70.73%,691,977,-0.23
3,0,19803,Ryan Armour,69.74%,636,912,-0.14
4,0,46414,Aaron Rai,68.51%,829,1210,-0.21
5,0,26596,Ryan Moore,67.96%,579,852,-0.20
6,0,50525,Collin Morikawa,67.94%,589,867,-0.26
7,0,25900,Lucas Glover,67.11%,749,1116,-0.18
8,0,37455,Si Woo Kim,67.07%,774,1154,-0.19
9,0,40058,Zac Blair,66.82%,574,859,-0.21
10,0,30927,Brendon Todd,66.75%,775,1161,-0.22
11,0,55182,Tom Kim,66.54%,704,1058,-0.27
12,0,35449,Adam Long,66.50%,786,1182,-0.19
13,0,31557,Jim Herman,66.20%,564,852,-0.09
14,0,34409,David Lingmerth,65.84%,528,802,-0.11
15,0,27644,Brian Harman,65.69%,693,1055,-0.20
16,0,52375,Doug Ghim,65.55%,664,1013,-0.19
17,0,24024,Zach Johnson,65.31%,497,761,-0.15
18,0,49960,Sepp Straka,65.05%,696,1070,-0.23
19,0,45609,Tyler Duncan,65.03%,688,1058,-0.19
20,0,35450,Patrick Cantlay,64.74%,560,865,-0.30
21,0,52513,Carson Young,64.39%,642,997,-0.17
22,0,26476,Chez Reavie,64.23%,765,1191,-0.17
23,0,31202,William McGirt,63.71%,302,474,-0.20
24,0,32448,James Hahn,63.61%,603,948,-0.14
25,0,32640,Troy Merritt,63.60%,608,956,-0.16
26,0,24140,Sean O'Hair,63.37%,263,415,-0.17
27,0,27936,Martin Laird,63.35%,586,925,-0.18
28,0,33399,Adam Hadwin,63.29%,712,1125,-0.22
29,0,34256,Andrew Putnam,63.26%,785,1241,-0.18
30,0,33410,Andrew Landry,63.21%,555,878,-0.15
31,0,39971,Sungjae Im,63.16%,751,1189,-0.27
32,0,55708,Hayden Buckley,63.00%,562,892,-0.15
33,0,35901,Paul Haley II,62.86%,589,937,-0.12
33,0,46717,Viktor Hovland,62.86%,611,972,-0.29
35,0,29535,Brice Garnett,62.79%,540,860,-0.18
36,0,39324,J.J. Spaun,62.77%,703,1120,-0.21
37,0,35879,Kelly Kraft,62.65%,609,972,-0.18
38,0,57362,Austin Eckroat,62.62%,593,947,-0.19
39,0,29420,Billy Horschel,62.52%,447,715,-0.20
40,0,22056,Cameron Percy,62.33%,359,576,-0.16
41,0,36871,Matt NeSmith,62.22%,700,1125,-0.15
42,0,23108,Matt Kuchar,62.13%,658,1059,-0.19
42,0,40115,Adam Svensson,62.13%,868,1397,-0.22
44,0,33204,Shane Lowry,62.03%,482,777,-0.18
45,0,46046,Scottie Scheffler,62.01%,635,1024,-0.31
46,0,35310,Lanto Griffin,61.84%,376,608,-0.18
46,0,39546,Keith Mitchell,61.84%,624,1009,-0.21
48,0,29221,Webb Simpson,61.72%,445,721,-0.18
49,0,47993,Denny McCarthy,61.69%,723,1172,-0.24
50,0,34076,Joel Dahmen,61.68%,623,1010,-0.17
50,0,36326,David Lipsky,61.68%,692,1122,-0.18
52,0,46435,Austin Cook,61.66%,468,759,-0.11
53,0,31560,Brian Stuard,61.65%,418,678,-0.12
54,0,30163,Henrik Norlander,61.64%,572,928,-0.16
55,0,45522,Christiaan Bezuidenhout,61.48%,675,1098,-0.19
56,0,22405,Justin Rose,61.46%,456,742,-0.23
56,0,50493,Justin Suh,61.46%,799,1300,-0.15
58,0,34099,Harris English,61.40%,668,1088,-0.18
58,0,30911,Tommy Fleetwood,61.40%,525,855,-0.26
60,0,47983,Chad Ramey,61.19%,760,1242,-0.22
61,0,49298,Kramer Hickok,61.06%,635,1040,-0.18
62,0,23320,Ryan Palmer,61.04%,539,883,-0.23
63,0,54628,Lee Hodges,60.99%,752,1233,-0.19
64,0,45242,Kevin Yu,60.90%,394,647,-0.23
65,0,39997,Corey Conners,60.87%,613,1007,-0.23
