RANK,MOVEMENT,PLAYER_ID,PLAYER,BIRDIEAVG,# OF BIRDIES,TOTAL ROUNDS
1,0,35450,Patrick Cantlay,4.50,324,72
2,0,46970,Jon Rahm,4.49,319,71
3,0,46717,Viktor Hovland,4.41,388,88
3,0,46046,Scottie Scheffler,4.41,388,88
5,0,57366,Cameron Young,4.35,357,82
6,0,39977,Max Homa,4.34,373,86
6,0,55789,Taylor Montgomery,4.34,425,98
8,0,47591,Eric Cole,4.31,526,122
9,0,28237,Rory McIlroy,4.30,275,64
10,4,24502,Adam Scott,4.29,292,68
11,13,45242,Kevin Yu,4.25,293,69
12,3,56630,Akshay Bhatia,4.24,339,80
13,-3,55182,Tom Kim,4.22,380,90
14,-3,50525,Collin Morikawa,4.21,341,81
14,-3,48081,Xander Schauffele,4.21,341,81
14,-3,51634,Sahith Theegala,4.21,446,106
17,-1,33141,Keegan Bradley,4.17,342,82
17,-1,52453,Nicolai Hojgaard,4.17,192,46
19,0,32102,Rickie Fowler,4.16,399,96
19,-3,31577,Tano Goya,4.16,358,86
21,-1,29725,Tony Finau,4.15,349,84
21,-1,37275,Sam Ryder,4.15,444,107
23,-1,39971,Sungjae Im,4.13,429,104
23,-1,50493,Justin Suh,4.13,454,110
25,0,51766,Wyndham Clark,4.11,419,102
25,0,35532,Tom Hoge,4.11,427,104
27,0,34563,Chesson Hadley,4.09,368,90
28,0,40006,Erik van Rooyen,4.08,318,78
29,1,56762,Will Gordon,4.07,436,107
29,-1,57975,Harry Hall,4.07,415,102
31,0,34363,Tyrrell Hatton,4.06,317,78
31,0,28775,Nate Lashley,4.06,426,105
33,9,55454,Carl Yuan,4.05,324,80
34,-3,39067,MJ Daffue,4.04,408,101
34,4,25900,Lucas Glover,4.04,404,100
34,2,54783,Dylan Wu,4.04,420,104
37,-3,28089,Jason Day,4.03,322,80
37,-3,36799,Stephan Jaeger,4.03,476,118
39,5,32816,Satoshi Kodaira,4.02,237,59
39,8,33413,Ben Martin,4.02,406,101
39,11,30927,Brendon Todd,4.02,402,100
42,-5,22405,Justin Rose,4.01,273,68
42,15,48867,Matti Schmid,4.01,309,77
44,-2,33653,Thomas Detry,4.00,380,95
44,6,40162,Justin Lower,4.00,428,107
44,-6,51070,Vincent Norrman,4.00,340,85
44,8,23320,Ryan Palmer,4.00,308,77
44,-6,25493,Nick Taylor,4.00,372,93
44,-6,33448,Justin Thomas,4.00,288,72
50,-3,54591,Ben Griffin,3.99,459,115
50,2,25818,Scott Piercy,3.99,379,95
52,-8,33948,Byeong Hun An,3.98,418,105
52,8,32757,Patton Kizzire,3.98,382,96
52,5,52374,Brandon Wu,3.98,442,111
55,-8,45157,Cam Davis,3.97,361,91
55,-11,35617,Martin Trainer,3.97,242,61
57,-5,30911,Tommy Fleetwood,3.95,292,74
57,14,59018,Ryan Gerard,3.95,237,60
59,-4,39997,Corey Conners,3.94,323,82
59,-4,54421,Garrick Higgo,3.94,406,103
61,5,37338,Zecheng Dou,3.92,372,95
61,-2,49771,J.T. Poston,3.92,376,96
61,2,50095,Austin Smotherman,3.92,376,96
64,-4,31646,Emiliano Grillo,3.91,442,113
64,-4,34098,Russell Henley,3.91,313,80
64,12,29289,S.Y. Noh,3.91,262,67
64,14,39335,Kevin Roy,3.91,289,74
68,-5,39546,Keith Mitchell,3.90,359,92
68,17,47995,Davis Riley,3.90,398,102
68,-5,40115,Adam Svensson,3.90,460,118
71,-5,34255,Joseph Bramlett,3.89,311,80
71,-5,33399,Adam Hadwin,3.89,342,88
71,5,47988,Nick Hardy,3.89,444,114
71,-5,35461,Beau Hossler,3.89,428,110
71,20,27129,Luke List,3.89,373,96
71,-5,47983,Chad Ramey,3.89,393,101
77,-6,27644,Brian Harman,3.88,345,89
77,1,27554,Scott Harrington,3.88,303,78
77,-6,49960,Sepp Straka,3.88,357,92
77,-6,58168,Davis Thompson,3.88,357,92
81,17,39058,Lucas Herbert,3.87,240,62
82,-4,47504,Sam Burns,3.86,313,81
82,-11,33597,Harry Higgs,3.86,309,80
82,3,36801,Mark Hubbard,3.86,440,114
85,0,52375,Doug Ghim,3.85,350,91
85,-4,23108,Matt Kuchar,3.85,335,87
85,-4,28252,Seamus Power,3.85,316,82
85,-4,46414,Aaron Rai,3.85,404,105
89,0,48084,Wesley Bryan,3.84,169,44
89,-4,50188,S.H. Kim,3.84,426,111
89,-4,37455,Si Woo Kim,3.84,369,96
89,-4,32839,Hideki Matsuyama,3.84,334,87
93,9,53165,Doc Redman,3.83,291,76
94,-2,47993,Denny McCarthy,3.82,367,96
94,-13,24140,Sean O'Hair,3.82,191,50
94,-2,48699,Callum Tarren,3.82,371,97
94,-2,52513,Carson Young,3.82,363,95
98,-3,34046,Jordan Spieth,3.81,274,72
99,-3,22371,Aaron Baddeley,3.80,289,76
99,0,49453,Trevor Cone,3.80,304,80
99,7,39954,Cody Gribble,3.80,251,66
99,2,27936,Martin Laird,3.80,327,86
99,-3,32791,K.H. Lee,3.80,391,103
104,-5,52372,Cameron Champ,3.78,280,74
104,-2,51414,Brent Grant,3.78,302,80
