RANK,MOVEMENT,PLAYER_ID,PLAYER,SAPGAVG,TOTAL SG:APP,MEASURED ROUNDS
1,0,46046,Scottie Scheffler,1.194,88.344,74
2,0,50525,Collin Morikawa,1.012,62.742,62
3,0,48081,Xander Schauffele,0.880,54.539,62
4,0,46970,Jon Rahm,0.878,52.655,60
5,0,29725,Tony Finau,0.789,57.617,73
6,0,31323,Gary Woodland,0.741,54.805,74
7,0,32102,Rickie Fowler,0.740,59.955,81S
8,0,28237,Rory McIlroy,0.721,41.834,58
9,0,35532,Tom Hoge,0.706,59.979,85
10,0,55182,Tom Kim,0.655,49.764,76
11,0,46717,Viktor Hovland,0.610,42.684,70
12,0,32839,Hideki Matsuyama,0.609,42.654,70
13,0,36801,Mark Hubbard,0.594,52.288,88
14,0,39335,Kevin Roy,0.591,30.747,52
15,0,25900,Lucas Glover,0.566,45.270,80
16,0,35450,Patrick Cantlay,0.564,34.965,62
17,0,34098,Russell Henley,0.560,39.186,70
17,0,22405,Justin Rose,0.560,30.237,54
19,0,33122,Russell Knox,0.544,44.062,81
20,0,47591,Eric Cole,0.540,57.283,106
21,0,26596,Ryan Moore,0.520,31.737,61
22,0,39997,Corey Conners,0.514,37.019,72
23,0,49960,Sepp Straka,0.509,39.159,77
24,0,34256,Andrew Putnam,0.476,42.849,90
25,0,39977,Max Homa,0.475,36.603,77
26,0,37275,Sam Ryder,0.463,39.376,85
27,0,30911,Tommy Fleetwood,0.462,28.647,62
28,0,33204,Shane Lowry,0.461,25.806,56
29,0,51766,Wyndham Clark,0.436,37.481,86
30,0,56630,Akshay Bhatia,0.425,23.369,55
31,0,34363,Tyrrell Hatton,0.419,27.648,66
31,0,46340,Alex Smalley,0.419,37.746,90
33,0,12716,Charley Hoffman,0.394,21.678,55
34,0,46414,Aaron Rai,0.384,33.429,87
35,0,30926,Chris Kirk,0.371,27.114,73
36,0,25493,Nick Taylor,0.370,27.768,75
37,0,37455,Si Woo Kim,0.369,30.650,83
38,0,34255,Joseph Bramlett,0.368,25.006,68
39,0,26476,Chez Reavie,0.367,31.158,85
40,0,34563,Chesson Hadley,0.364,27.290,75
41,0,33448,Justin Thomas,0.362,24.258,67
42,0,47995,Davis Riley,0.361,27.449,76
43,0,52453,Nicolai Hojgaard,0.360,12.227,34
44,0,33413,Ben Martin,0.339,26.771,79
45,0,36326,David Lipsky,0.330,26.725,81
46,0,28775,Nate Lashley,0.317,26.320,83
47,0,47347,Adam Schenk,0.302,28.685,95
48,0,49771,J.T. Poston,0.301,25.009,83
49,0,48117,Kurt Kitayama,0.285,15.685,55
50,0,54783,Dylan Wu,0.273,21.319,78
51,0,59018,Ryan Gerard,0.272,13.080,48
52,0,27129,Luke List,0.258,20.611,80
53,0,29908,C.T. Pan,0.247,9.628,39
54,0,23320,Ryan Palmer,0.246,15.750,64
55,0,40115,Adam Svensson,0.242,24.171,100
56,0,39324,J.J. Spaun,0.239,19.083,80
57,0,33141,Keegan Bradley,0.237,15.854,67
58,0,36871,Matt NeSmith,0.232,18.804,81
59,0,39975,Michael Kim,0.224,15.474,69
60,0,36799,Stephan Jaeger,0.223,23.154,104
61,0,31646,Emiliano Grillo,0.213,18.716,88
62,0,33399,Adam Hadwin,0.210,17.010,81
63,0,47988,Nick Hardy,0.199,17.110,86
64,0,45242,Kevin Yu,0.196,9.192,47
65,0,27963,Chris Stroud,0.189,7.567,40
66,0,48699,Callum Tarren,0.184,14.927,81
67,0,30927,Brendon Todd,0.183,15.155,83
68,0,54628,Lee Hodges,0.180,16.004,89
69,0,52375,Doug Ghim,0.177,12.943,73
70,0,51634,Sahith Theegala,0.175,15.076,86
71,0,34046,Jordan Spieth,0.173,10.749,62
72,0,48887,Matt Wallace,0.172,11.544,67
73,0,51890,Greyson Sigg,0.167,14.326,86
74,0,45157,Cam Davis,0.160,12.818,80
75,0,27214,Kevin Streelman,0.158,13.253,84
76,0,34099,Harris English,0.157,12.426,79
77,0,45522,Christiaan Bezuidenhout,0.151,11.894,79
78,0,56762,Will Gordon,0.147,12.660,86
79,0,27349,Alex Noren,0.145,10.147,70
80,0,32366,Kevin Chappell,0.131,4.599,35
80,0,32816,Satoshi Kodaira,0.131,5.226,40
82,0,54591,Ben Griffin,0.128,11.118,87
83,0,46441,Robby Shelton,0.117,9.624,82
84,0,34076,Joel Dahmen,0.114,8.291,73
85,0,25686,Jason Dufner,0.110,7.453,68
86,0,32791,K.H. Lee,0.107,8.462,79
87,0,52374,Brandon Wu,0.099,8.135,82
88,0,39971,Sungjae Im,0.095,8.063,85
89,0,47993,Denny McCarthy,0.089,7.559,85
90,0,51070,Vincent Norrman,0.084,5.429,65
91,0,40162,Justin Lower,0.082,6.476,79
92,0,57366,Cameron Young,0.080,5.125,64
93,0,40058,Zac Blair,0.073,4.542,62
94,0,29221,Webb Simpson,0.065,3.376,52
95,0,52513,Carson Young,0.063,4.535,72
96,0,40006,Erik van Rooyen,0.056,3.136,56
97,0,33948,Byeong Hun An,0.048,4.272,89
98,0,46601,Trey Mullinax,0.032,2.167,67
98,0,48867,Matti Schmid,0.032,1.651,51
100,0,51997,Andrew Novak,0.027,1.730,65
101,0,23108,Matt Kuchar,0.021,1.626,76
102,0,27974,Sung Kang,0.012,0.362,30
103,-1,40250,Taylor Pendrith,0.005,0.366,79
104,-1,57362,Austin Eckroat,-0.002,-0.116,69
105,-1,25818,Scott Piercy,-0.008,-0.508,67
106,-1,30163,Henrik Norlander,-0.017,-1.141,67
106,-1,22056,Cameron Percy,-0.017,-0.720,42
108,-1,28089,Jason Day,-0.020,-1.277,64
109,-1,39954,Cody Gribble,-0.023,-1.091,47
109,-1,27936,Martin Laird,-0.023,-1.561,67
111,-1,48119,Ben Taylor,-0.025,-2.064,84
112,-1,27644,Brian Harman,-0.030,-2.255,76
113,-1,19803,Ryan Armour,-0.032,-2.090,66
114,-1,55893,Sam Stevens,-0.038,-3.126,82
115,-1,49947,Taylor Moore,-0.039,-3.193,81
116,-1,52372,Cameron Champ,-0.045,-2.526,56
117,-1,40098,Matt Fitzpatrick,-0.053,-3.327,63
117,-1,32757,Patton Kizzire,-0.053,-4.252,80
119,-1,20229,Stewart Cink,-0.054,-3.414,63
120,-1,36699,Patrick Rodgers,-0.059,-4.935,84
121,-1,34409,David Lingmerth,-0.061,-3.517,58
122,-1,22371,Aaron Baddeley,-0.063,-3.524,56
123,-1,50493,Justin Suh,-0.067,-6.302,94
124,-1,49298,Kramer Hickok,-0.080,-6.012,75
125,-1,32640,Troy Merritt,-0.089,-6.143,69
126,-1,50095,Austin Smotherman,-0.094,-7.354,78
127,-1,55708,Hayden Buckley,-0.098,-6.244,64
128,-1,47504,Sam Burns,-0.100,-7.291,73
129,-1,45609,Tyler Duncan,-0.102,-7.784,76
130,-1,33653,Thomas Detry,-0.103,-6.598,64
131,-1,37338,Zecheng Dou,-0.118,-8.882,75
132,-1,29420,Billy Horschel,-0.122,-6.339,52
133,-1,30692,Scott Stallings,-0.129,-8.484,66
134,-1,25632,Jimmy Walker,-0.143,-10.699,75
135,-1,55454,Carl Yuan,-0.144,-9.529,66
136,-1,27095,Nick Watney,-0.150,-8.098,54
137,-1,49453,Trevor Cone,-0.156,-9.666,62
138,-1,31202,William McGirt,-0.157,-5.341,34
139,-1,32448,James Hahn,-0.159,-10.956,69
139,-1,53165,Doc Redman,-0.159,-10.474,66
141,-1,32333,Kevin Tway,-0.167,-12.846,77
142,-1,24502,Adam Scott,-0.169,-8.799,52
143,-1,29535,Brice Garnett,-0.173,-10.743,62
144,-1,47079,Harrison Endycott,-0.175,-11.717,67
145,-1,58168,Davis Thompson,-0.176,-14.790,84
146,-1,36724,Augusto Núñez,-0.187,-10.666,57
147,-1,24140,Sean O'Hair,-0.207,-6.200,30
148,-1,51491,Brandon Matthews,-0.209,-8.761,42
