RANK,MOVEMENT,PLAYER_ID,PLAYER,SATGAVG,TOTAL SG:ARG,MEASURED ROUNDS
1,0,24925,Jonathan Byrd,0.528,19.009,36
2,0,22371,Aaron Baddeley,0.468,26.210,56
3,0,30927,Brendon Todd,0.448,37.172,83
4,0,33448,Justin Thomas,0.436,29.239,67
5,0,46046,Scottie Scheffler,0.399,29.555,74
6,0,33948,Byeong Hun An,0.396,35.269,89
7,0,36799,Stephan Jaeger,0.389,40.425,104
8,0,35506,Mackenzie Hughes,0.377,25.621,68
9,0,23108,Matt Kuchar,0.365,27.709,76
10,0,27349,Alex Noren,0.360,25.168,70
11,0,30911,Tommy Fleetwood,0.355,21.993,62
12,0,48084,Wesley Bryan,0.326,9.135,28
13,-1,32839,Hideki Matsuyama,0.324,22.672,70
14,-1,54591,Ben Griffin,0.318,27.645,87
15,-1,55789,Taylor Montgomery,0.315,25.829,82
16,-1,28237,Rory McIlroy,0.309,17.937,58
17,-1,47591,Eric Cole,0.301,31.896,106
18,-1,46435,Austin Cook,0.290,15.961,55
18,-1,30926,Chris Kirk,0.290,21.152,73
20,-1,39971,Sungjae Im,0.279,23.756,85
21,-1,22405,Justin Rose,0.272,14.698,54
22,-1,32102,Rickie Fowler,0.269,21.752,81
22,-1,34466,Peter Malnati,0.269,20.192,75
24,-1,34098,Russell Henley,0.267,18.665,70
24,-1,51634,Sahith Theegala,0.267,22.975,86
26,-1,35461,Beau Hossler,0.259,22.789,88
27,-1,51766,Wyndham Clark,0.255,21.933,86
27,-1,32791,K.H. Lee,0.255,20.151,79
29,-1,34046,Jordan Spieth,0.250,15.522,62
30,-1,34610,Matthias Schwab,0.244,19.545,80
31,-1,40098,Matt Fitzpatrick,0.238,14.982,63
32,-1,39977,Max Homa,0.233,17.945,77
33,-1,48887,Matt Wallace,0.228,15.260,67
34,-1,40058,Zac Blair,0.225,13.946,62
35,-1,39324,J.J. Spaun,0.219,17.538,80
36,-1,46441,Robby Shelton,0.215,17.624,82
37,-1,32640,Troy Merritt,0.212,14.659,69
37,-1,24502,Adam Scott,0.212,11.023,52
39,-1,50188,S.H. Kim,0.210,20.413,97
40,-1,45522,Christiaan Bezuidenhout,0.205,16.219,79
41,-1,36801,Mark Hubbard,0.202,17.750,88
41,-1,35449,Adam Long,0.202,17.138,85
43,-1,28089,Jason Day,0.192,12.290,64
44,-1,45157,Cam Davis,0.191,15.280,80
45,-1,36699,Patrick Rodgers,0.190,15.970,84
46,-1,34099,Harris English,0.185,14.610,79
46,-1,51997,Andrew Novak,0.185,12.045,65
48,-1,32816,Satoshi Kodaira,0.181,7.258,40
48,-1,25493,Nick Taylor,0.181,13.565,75
50,-1,29725,Tony Finau,0.178,13.015,73
51,-1,37455,Si Woo Kim,0.177,14.672,83
52,-1,46442,Maverick McNealy,0.162,7.457,46
53,-1,31577,Tano Goya,0.161,9.961,62
54,-1,59018,Ryan Gerard,0.158,7.584,48
54,-1,57975,Harry Hall,0.158,11.689,74
56,-1,34255,Joseph Bramlett,0.157,10.650,68
57,-1,46414,Aaron Rai,0.149,12.993,87
58,-1,35450,Patrick Cantlay,0.147,9.143,62
59,-1,47993,Denny McCarthy,0.143,12.136,85
60,-1,31202,William McGirt,0.140,4.759,34
61,-1,28252,Seamus Power,0.139,9.041,65
62,-1,27214,Kevin Streelman,0.129,10.874,84
63,-1,34363,Tyrrell Hatton,0.128,8.464,66
64,-1,34076,Joel Dahmen,0.119,8.723,73
65,-1,32139,Danny Willett,0.115,6.099,53
66,-1,25686,Jason Dufner,0.112,7.593,68
67,-1,47079,Harrison Endycott,0.107,7.156,67
68,-1,48117,Kurt Kitayama,0.106,5.822,55
69,-1,46970,Jon Rahm,0.104,6.222,60
70,-1,34256,Andrew Putnam,0.102,9.196,90
71,-1,31560,Brian Stuard,0.101,4.934,49
72,-1,55893,Sam Stevens,0.100,8.220,82
73,-1,29535,Brice Garnett,0.099,6.126,62
74,-1,33653,Thomas Detry,0.098,6.265,64
74,-1,25632,Jimmy Walker,0.098,7.355,75
76,-1,30692,Scott Stallings,0.096,6.339,66
77,-1,52375,Doug Ghim,0.092,6.715,73
78,-1,51890,Greyson Sigg,0.090,7.778,86
79,-1,58168,Davis Thompson,0.068,5.705,84
80,-1,33204,Shane Lowry,0.067,3.741,56
80,-1,40115,Adam Svensson,0.067,6.690,100
82,-1,33399,Adam Hadwin,0.065,5.264,81
83,-1,46717,Viktor Hovland,0.060,4.205,70
84,-1,36326,David Lipsky,0.059,4.757,81
85,-1,33408,Tyson Alexander,0.058,4.001,69
86,-1,29420,Billy Horschel,0.057,2.944,52
86,-1,34431,Robert Streb,0.057,3.386,59
88,-1,37338,Zecheng Dou,0.056,4.209,75
88,-1,48081,Xander Schauffele,0.056,3.488,62
90,-1,28775,Nate Lashley,0.054,4.485,83
90,-1,29908,C.T. Pan,0.054,2.116,39
92,-1,39975,Michael Kim,0.050,3.471,69
92,-1,55182,Tom Kim,0.050,3.820,76
94,-1,49771,J.T. Poston,0.049,4.056,83
95,-1,20229,Stewart Cink,0.048,3.026,63
96,-1,50525,Collin Morikawa,0.047,2.895,62
97,-1,47504,Sam Burns,0.046,3.359,73
