RANK,MOVEMENT,PLAYER_ID,PLAYER,SOTAVG,TOTAL SG:OTT,MEASURED ROUNDS
1,0,46046,Scottie Scheffler,1.021,75.522,74
2,0,28237,Rory McIlroy,0.907,52.595,58
3,0,35450,Patrick Cantlay,0.852,52.812,62
4,0,45242,Kevin Yu,0.824,38.733,47
5,0,51414,Brent Grant,0.777,41.981,54
6,0,46717,Viktor Hovland,0.741,51.903,70
7,0,39546,Keith Mitchell,0.738,53.910,73
8,0,27129,Luke List,0.617,49.348,80
9,0,57366,Cameron Young,0.597,38.225,64
10,0,55708,Hayden Buckley,0.592,37.875,64
11,0,39997,Corey Conners,0.571,41.121,72
12,0,39067,MJ Daffue,0.569,41.521,73
13,0,34363,Tyrrell Hatton,0.533,35.166,66
13,0,31323,Gary Woodland,0.533,39.447,74
15,0,49453,Trevor Cone,0.524,32.515,62
16,0,52372,Cameron Champ,0.522,29.222,56
17,0,45157,Cam Davis,0.514,41.082,80
18,0,54421,Garrick Higgo,0.509,45.830,90
19,0,50525,Collin Morikawa,0.487,30.187,62
20,0,37455,Si Woo Kim,0.471,39.123,83
21,0,51070,Vincent Norrman,0.469,30.491,65
22,0,58168,Davis Thompson,0.468,39.346,84
23,0,39971,Sungjae Im,0.467,39.669,85
24,0,45609,Tyler Duncan,0.449,34.161,76
25,0,33948,Byeong Hun An,0.447,39.815,89
26,0,24502,Adam Scott,0.421,21.907,52
27,0,50188,S.H. Kim,0.412,39.946,97
28,0,55893,Sam Stevens,0.409,33.554,82
29,0,33204,Shane Lowry,0.408,22.856,56
30,0,56630,Akshay Bhatia,0.391,21.489,55
31,0,30911,Tommy Fleetwood,0.388,24.036,62
32,0,46970,Jon Rahm,0.360,21.626,60
33,0,28089,Jason Day,0.346,22.152,64
34,0,46414,Aaron Rai,0.343,29.826,87
35,0,57362,Austin Eckroat,0.341,23.556,69
36,0,36799,Stephan Jaeger,0.340,35.338,104
37,0,56762,Will Gordon,0.330,28.358,86
38,0,39977,Max Homa,0.317,24.399,77
39,0,40250,Taylor Pendrith,0.316,24.934,79
40,0,32448,James Hahn,0.315,21.728,69
41,0,39324,J.J. Spaun,0.303,24.204,80
42,0,29725,Tony Finau,0.288,21.032,73
43,0,25900,Lucas Glover,0.282,22.571,80
44,0,23320,Ryan Palmer,0.270,17.287,64
45,0,47504,Sam Burns,0.266,19.409,73
46,0,48081,Xander Schauffele,0.265,16.403,62
47,0,46340,Alex Smalley,0.259,23.268,90
48,0,54628,Lee Hodges,0.245,21.809,89
49,0,27644,Brian Harman,0.241,18.308,76
50,0,52375,Doug Ghim,0.235,17.148,73
51,0,35461,Beau Hossler,0.230,20.224,88
52,0,34255,Joseph Bramlett,0.226,15.376,68
53,0,48867,Matti Schmid,0.221,11.264,51
54,0,40098,Matt Fitzpatrick,0.211,13.286,63
55,0,31646,Emiliano Grillo,0.203,17.872,88
55,0,48699,Callum Tarren,0.203,16.481,81
57,0,33141,Keegan Bradley,0.202,13.503,67
58,0,34046,Jordan Spieth,0.200,12.399,62
59,0,36699,Patrick Rodgers,0.199,16.743,84
60,0,33448,Justin Thomas,0.198,13.296,67
61,0,22056,Cameron Percy,0.188,7.915,42
62,0,34076,Joel Dahmen,0.184,13.464,73
62,0,35310,Lanto Griffin,0.184,8.079,44
64,0,55454,Carl Yuan,0.182,11.983,66
65,0,39058,Lucas Herbert,0.181,8.711,48
66,0,40115,Adam Svensson,0.180,17.964,100
67,0,34098,Russell Henley,0.166,11.637,70
68,0,39954,Cody Gribble,0.160,7.498,47
69,0,52374,Brandon Wu,0.158,12.970,82
70,0,27554,Scott Harrington,0.141,7.880,56
71,0,51766,Wyndham Clark,0.139,11.954,86
72,0,37338,Zecheng Dou,0.132,9.909,75
73,0,55182,Tom Kim,0.128,9.746,76
74,0,32102,Rickie Fowler,0.126,10.206,81
75,0,31577,Tano Goya,0.110,6.820,62
