RANK,MOVEMENT,PLAYER_ID,PLAYER,SPAVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,46442,Maverick McNealy,1.058,48.656,46
2,0,55789,Taylor Montgomery,0.859,70.401,82
3,0,47993,Denny McCarthy,0.752,63.955,85
4,0,57975,Harry Hall,0.698,51.660,74
5,0,48081,Xander Schauffele,0.667,41.383,62
6,0,39977,Max Homa,0.612,47.109,77
7,0,34363,Tyrrell Hatton,0.597,39.413,66
8,0,47504,Sam Burns,0.584,42.609,73
9,0,50493,Justin Suh,0.553,51.943,94
10,0,40098,Matt Fitzpatrick,0.525,33.066,63
11,0,34256,Andrew Putnam,0.513,46.204,90
12,0,37275,Sam Ryder,0.508,43.150,85
13,0,30911,Tommy Fleetwood,0.493,30.574,62
14,0,30927,Brendon Todd,0.486,40.329,83
15,0,51634,Sahith Theegala,0.485,41.668,86
16,0,24502,Adam Scott,0.462,24.009,52
17,0,47591,Eric Cole,0.460,48.745,106
18,0,34099,Harris English,0.451,35.625,79
18,0,34466,Peter Malnati,0.451,33.831,75
20,0,33141,Keegan Bradley,0.447,29.951,67
21,0,27644,Brian Harman,0.446,33.924,76
22,0,33399,Adam Hadwin,0.445,36.022,81
23,0,27349,Alex Noren,0.440,30.798,70
24,0,22371,Aaron Baddeley,0.428,23.974,56
25,0,52453,Nicolai Hojgaard,0.415,14.113,34
26,0,49947,Taylor Moore,0.414,33.527,81
27,0,48119,Ben Taylor,0.406,34.076,84
28,0,22405,Justin Rose,0.404,21.837,54
29,0,34563,Chesson Hadley,0.400,29.988,75
30,0,39058,Lucas Herbert,0.398,19.106,48
31,0,51766,Wyndham Clark,0.370,31.843,86
32,0,49771,J.T. Poston,0.356,29.583,83
33,0,40162,Justin Lower,0.355,28.074,79
34,0,47128,Richy Werenski,0.353,25.086,71
35,0,29420,Billy Horschel,0.347,18.035,52
36,0,28089,Jason Day,0.336,21.522,64
36,0,46970,Jon Rahm,0.336,20.184,60
36,0,47347,Adam Schenk,0.336,31.953,95
39,0,54783,Dylan Wu,0.323,25.216,78
40,0,47983,Chad Ramey,0.316,28.162,89
41,0,35449,Adam Long,0.314,26.676,85
42,0,35450,Patrick Cantlay,0.305,18.884,62
43,0,32102,Rickie Fowler,0.290,23.514,81
44,0,35879,Kelly Kraft,0.289,20.196,70
45,0,50188,S.H. Kim,0.278,26.992,97
46,0,33597,Harry Higgs,0.274,15.352,56
47,0,54591,Ben Griffin,0.268,23.282,87
48,0,33653,Thomas Detry,0.263,16.829,64
49,0,35506,Mackenzie Hughes,0.259,17.618,68
50,0,25493,Nick Taylor,0.241,18.099,75
