RANK,MOVEMENT,PLAYER_ID,PLAYER,STGAVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,46046,Scottie Scheffler,2.615,1.021,1.194,0.399,74
2,0,28237,Rory McIlroy,1.938,0.907,0.721,0.309,58
3,0,35450,Patrick Cantlay,1.564,0.852,0.564,0.147,62
4,0,50525,Collin Morikawa,1.547,0.487,1.012,0.047,62
5,0,46717,Viktor Hovland,1.412,0.741,0.610,0.060,70
6,0,46970,Jon Rahm,1.343,0.360,0.878,0.104,60
7,0,29725,Tony Finau,1.257,0.288,0.789,0.178,73
8,0,30911,Tommy Fleetwood,1.205,0.388,0.462,0.355,62
9,0,48081,Xander Schauffele,1.201,0.265,0.880,0.056,62
10,0,32102,Rickie Fowler,1.136,0.126,0.740,0.269,81
11,0,34363,Tyrrell Hatton,1.081,0.533,0.419,0.128,66
12,0,45242,Kevin Yu,1.045,0.824,0.196,0.025,47
13,0,39997,Corey Conners,1.027,0.571,0.514,-0.059,72
14,0,39977,Max Homa,1.026,0.317,0.475,0.233,77
15,0,32839,Hideki Matsuyama,1.020,0.086,0.609,0.324,70
16,0,37455,Si Woo Kim,1.018,0.471,0.369,0.177,83
17,0,33448,Justin Thomas,0.998,0.198,0.362,0.436,67
18,0,34098,Russell Henley,0.993,0.166,0.560,0.267,70
19,0,36799,Stephan Jaeger,0.942,0.340,0.223,0.389,104
20,0,33204,Shane Lowry,0.937,0.408,0.461,0.067,56
21,0,31323,Gary Woodland,0.926,0.533,0.741,-0.349,74
22,0,33948,Byeong Hun An,0.892,0.447,0.048,0.396,89
23,0,46414,Aaron Rai,0.877,0.343,0.384,0.149,87
24,0,45157,Cam Davis,0.865,0.514,0.160,0.191,80
25,0,39971,Sungjae Im,0.842,0.467,0.095,0.279,85
26,0,55182,Tom Kim,0.834,0.128,0.655,0.050,76
27,0,51766,Wyndham Clark,0.831,0.139,0.436,0.255,86
28,0,22405,Justin Rose,0.789,-0.044,0.560,0.272,54
29,0,25900,Lucas Glover,0.787,0.282,0.566,-0.061,80
30,0,27129,Luke List,0.761,0.617,0.258,-0.114,80
30,0,39324,J.J. Spaun,0.761,0.303,0.239,0.219,80
32,0,34255,Joseph Bramlett,0.751,0.226,0.368,0.157,68
33,0,56630,Akshay Bhatia,0.728,0.391,0.425,-0.088,55
34,0,46340,Alex Smalley,0.719,0.259,0.419,0.041,90
